,c,c,s,m,d,c_c,c_s,c_m,c_d,c_s,c_m,c_d,s_m,s_d,m_d,c_c_s,c_c_m,c_c_d,c_s_m,c_s_d,c_m_d,c_s_m,c_s_d,c_m_d,s_m_d,c_c_s_m,c_c_s_d,c_c_m_d,c_s_m_d,c_s_m_d,c_c_s_m_d
c_m_d,0.5368620037807184,0.580327868852459,0.20738137082601055,0.7283018867924528,0.7823639774859287,0.5819672131147541,0.5219683655536028,0.9754716981132076,0.975609756097561,0.5610510046367851,0.8494271685761048,0.8452768729641694,0.775438596491228,0.7888307155322862,0.8052930056710775,0.5610510046367851,0.851063829787234,0.8469055374592834,0.9070175438596492,0.9075043630017452,1.0,0.8024691358024691,0.7987711213517665,0.8655737704918033,0.8101933216168717,0.8024691358024691,0.7987711213517665,0.8672131147540983,0.929701230228471,0.8176197836166924,0.8176197836166924
c_s_m,0.4444444444444444,0.6807511737089202,0.24726134585289514,0.6056338028169014,0.6257668711656442,0.6823161189358372,0.5273865414710485,0.810641627543036,0.7837423312883436,0.7527386541471048,0.9405320813771518,0.906441717791411,0.755868544600939,0.74079754601227,0.6435185185185185,0.7527386541471048,0.9420970266040689,0.9079754601226994,0.8732394366197183,0.8450920245398773,0.8024691358024691,1.0,0.9647239263803681,0.9259259259259259,0.7592592592592593,1.0,0.9647239263803681,0.9274691358024691,0.8641975308641975,0.9845679012345679,0.9845679012345679
c_s_d,0.4423676012461059,0.677570093457944,0.24610591900311526,0.5782208588957055,0.6557632398753894,0.6791277258566978,0.5249221183800623,0.7791411042944786,0.8161993769470405,0.7492211838006231,0.906441717791411,0.940809968847352,0.7254601226993865,0.7725856697819314,0.6405529953917051,0.7492211838006231,0.9079754601226994,0.942367601246106,0.8404907975460123,0.8785046728971962,0.7987711213517665,0.9647239263803681,1.0,0.9216589861751152,0.7557603686635944,0.9647239263803681,1.0,0.9231950844854071,0.8602150537634409,0.9800307219662059,0.9800307219662059
c_m_d,0.4639344262295082,0.7142857142857143,0.18547140649149924,0.6327868852459017,0.6802610114192496,0.7131147540983607,0.46213292117465227,0.8445171849427169,0.8452768729641694,0.6846986089644513,0.9836065573770492,0.9787928221859706,0.6851851851851852,0.6973886328725039,0.6995073891625616,0.6846986089644513,0.9819967266775778,0.9771986970684039,0.8009259259259259,0.8018433179723502,0.8655737704918033,0.9259259259259259,0.9216589861751152,1.0,0.7156105100463679,0.9259259259259259,0.9216589861751152,0.9983606557377049,0.8207109737248841,0.9412673879443586,0.9412673879443586
s_m_d,0.37961335676625657,0.446676970633694,0.3153692614770459,0.7689243027888446,0.8257425742574257,0.4482225656877898,0.4727592267135325,0.787719298245614,0.7888307155322862,0.517774343122102,0.7006172839506173,0.6973886328725039,0.9601593625498008,0.9742574257425742,0.8502994011976048,0.517774343122102,0.7021604938271605,0.6989247311827957,0.8578947368421053,0.8586387434554974,0.8101933216168717,0.7592592592592593,0.7557603686635944,0.7156105100463679,1.0,0.7592592592592593,0.7557603686635944,0.7171561051004637,0.8804920913884007,0.7743431221020093,0.7743431221020093
c_c_s_m,0.4444444444444444,0.6807511737089202,0.24726134585289514,0.6056338028169014,0.6257668711656442,0.6823161189358372,0.5273865414710485,0.810641627543036,0.7837423312883436,0.7527386541471048,0.9405320813771518,0.906441717791411,0.755868544600939,0.74079754601227,0.6435185185185185,0.7527386541471048,0.9420970266040689,0.9079754601226994,0.8732394366197183,0.8450920245398773,0.8024691358024691,1.0,0.9647239263803681,0.9259259259259259,0.7592592592592593,1.0,0.9647239263803681,0.9274691358024691,0.8641975308641975,0.9845679012345679,0.9845679012345679
c_c_s_d,0.4423676012461059,0.677570093457944,0.24610591900311526,0.5782208588957055,0.6557632398753894,0.6791277258566978,0.5249221183800623,0.7791411042944786,0.8161993769470405,0.7492211838006231,0.906441717791411,0.940809968847352,0.7254601226993865,0.7725856697819314,0.6405529953917051,0.7492211838006231,0.9079754601226994,0.942367601246106,0.8404907975460123,0.8785046728971962,0.7987711213517665,0.9647239263803681,1.0,0.9216589861751152,0.7557603686635944,0.9647239263803681,1.0,0.9231950844854071,0.8602150537634409,0.9800307219662059,0.9800307219662059
c_c_m_d,0.46557377049180326,0.7131147540983607,0.18701700154559506,0.6317512274959084,0.6791530944625407,0.7147540983606557,0.46367851622874806,0.8461538461538461,0.8469055374592834,0.6862442040185471,0.9819967266775778,0.9771986970684039,0.6867283950617284,0.6989247311827957,0.6983606557377049,0.6862442040185471,0.983633387888707,0.9788273615635179,0.8024691358024691,0.8033794162826421,0.8672131147540983,0.9274691358024691,0.9231950844854071,0.9983606557377049,0.7171561051004637,0.9274691358024691,0.9231950844854071,1.0,0.8222565687789799,0.9428129829984544,0.9428129829984544
c_s_m_d,0.4991212653778559,0.5517774343122102,0.27768014059753954,0.6771929824561403,0.7277486910994765,0.5533230293663061,0.5922671353251318,0.9070175438596492,0.9075043630017452,0.6228748068006182,0.8055555555555556,0.8018433179723502,0.8456140350877193,0.8586387434554974,0.7486818980667839,0.6228748068006182,0.8070987654320988,0.8033794162826421,0.9771929824561404,0.9773123909249564,0.929701230228471,0.8641975308641975,0.8602150537634409,0.8207109737248841,0.8804920913884007,0.8641975308641975,0.8602150537634409,0.8222565687789799,1.0,0.8794435857805255,0.8794435857805255
c_s_m_d,0.43894899536321486,0.6723338485316847,0.24420401854714066,0.595679012345679,0.6405529953917051,0.6738794435857806,0.5208655332302936,0.7978395061728395,0.7987711213517665,0.7434312210200927,0.9259259259259259,0.9216589861751152,0.7438271604938271,0.7557603686635944,0.6584234930448223,0.7434312210200927,0.9274691358024691,0.9231950844854071,0.8595679012345679,0.8602150537634409,0.8176197836166924,0.9845679012345679,0.9800307219662059,0.9412673879443586,0.7743431221020093,0.9845679012345679,0.9800307219662059,0.9428129829984544,0.8794435857805255,1.0,1.0
c_c_s_m_d,0.43894899536321486,0.6723338485316847,0.24420401854714066,0.595679012345679,0.6405529953917051,0.6738794435857806,0.5208655332302936,0.7978395061728395,0.7987711213517665,0.7434312210200927,0.9259259259259259,0.9216589861751152,0.7438271604938271,0.7557603686635944,0.6584234930448223,0.7434312210200927,0.9274691358024691,0.9231950844854071,0.8595679012345679,0.8602150537634409,0.8176197836166924,0.9845679012345679,0.9800307219662059,0.9412673879443586,0.7743431221020093,0.9845679012345679,0.9800307219662059,0.9428129829984544,0.8794435857805255,1.0,1.0
